date,btcusdt_close,ethusdt_close
2023-06-26,30267.99,1858.97
2023-06-27,30692.44,1889.58
2023-06-28,30077.41,1828.02
2023-06-29,30447.31,1851.99
2023-06-30,30472.0,1933.79
2023-07-01,30585.9,1924.5
2023-07-02,30617.03,1937.48
2023-07-03,31156.2,1955.54
2023-07-04,30766.51,1936.2
2023-07-05,30504.81,1910.36
2023-07-06,29895.43,1846.17
2023-07-07,30344.7,1870.91
2023-07-08,30284.63,1865.24
2023-07-09,30160.71,1862.8
2023-07-10,30411.57,1880.4
2023-07-11,30622.1,1878.3
2023-07-12,30380.0,1871.82
2023-07-13,31454.23,2004.49
2023-07-14,30312.01,1937.83
2023-07-15,30289.52,1931.41
2023-07-16,30231.99,1922.11
2023-07-17,30138.0,1911.2
2023-07-18,29859.13,1897.21
2023-07-19,29909.21,1888.63
2023-07-20,29800.0,1891.59
2023-07-21,29901.72,1891.73
2023-07-22,29794.0,1866.52
2023-07-23,30083.75,1888.73
2023-07-24,29176.5,1850.0
2023-07-25,29228.91,1857.66
2023-07-26,29351.96,1872.0
2023-07-27,29222.78,1861.28
2023-07-28,29314.14,1874.19
2023-07-29,29352.9,1880.46
2023-07-30,29281.09,1861.79
2023-07-31,29232.25,1856.14
2023-08-01,29705.99,1873.47
2023-08-02,29186.01,1839.9
2023-08-03,29193.64,1835.81
2023-08-04,29113.99,1830.23
2023-08-05,29072.13,1836.48
2023-08-06,29088.42,1830.28
2023-08-07,29211.06,1829.1
2023-08-08,29770.42,1856.3
2023-08-09,29581.99,1855.35
2023-08-10,29455.75,1852.47
2023-08-11,29426.03,1848.84
2023-08-12,29430.17,1849.93
2023-08-13,29303.84,1840.73
2023-08-14,29430.93,1845.5
2023-08-15,29200.0,1828.98
2023-08-16,28730.51,1807.81
2023-08-17,26623.41,1681.49
2023-08-18,26054.0,1661.59
2023-08-19,26100.01,1669.67
2023-08-20,26189.99,1685.24
2023-08-21,26126.92,1667.55
2023-08-22,26056.0,1634.99
2023-08-23,26432.72,1679.61
2023-08-24,26180.05,1661.16
2023-08-25,26060.01,1653.8
2023-08-26,26017.37,1647.04
2023-08-27,26101.77,1658.33
2023-08-28,26120.0,1653.08
2023-08-29,27716.34,1729.42
2023-08-30,27299.99,1705.23
2023-08-31,25940.78,1645.76
2023-09-01,25805.05,1629.12
2023-09-02,25869.51,1637.03
2023-09-03,25971.21,1635.84
2023-09-04,25826.02,1630.51
2023-09-05,25792.1,1634.45
2023-09-06,25759.95,1633.15
